head_centroid_x,body_centroid_x,head_velocity_x,body_velocity_x,head_acceleration_x,body_acceleration_x,body_acceleration_squared_x,head_acceleration_squared_x,head_centroid_y,body_centroid_y,head_velocity_y,body_velocity_y,head_acceleration_y,body_acceleration_y,body_acceleration_squared_y,head_acceleration_squared_y,behavior
255.82012456258138,188.4670388539632,28.040053033828734,6.688263861338279,-2.984622465239606,21.930026245117176,265.7035075794539,461.7260277474794,356.33447507222496,283.61253420511883,-3.3977511723836074,7.429835637410503,-14.78273144827946,5.992419613732224,112.14729132307613,226.00243024163794,nonlocomotion
256.3117666244507,189.14101635615032,27.523399464289337,7.102527729670208,-3.5530232592745827,21.71078942079803,273.4859748747029,442.6149124199467,356.65237782796225,283.9151222229004,-3.3112079620361214,7.415895748138422,-14.575231318430834,5.719831659987136,110.12844730642196,228.13739070046657,nonlocomotion
256.6485097249349,189.73876059850056,26.916960938771563,7.438062254587799,-4.130506982301392,21.450096620174875,281.1222738926896,423.9670264328787,356.90882987976073,284.06505540212,-3.291365496317553,7.212808736165397,-14.450109741144,5.269804816497,107.90170379222965,230.2720824054891,nonlocomotion
256.9819796880086,190.2851172129313,26.311855300267517,7.656021149953198,-4.68001462007179,21.061699118980997,288.50976990523446,405.82437497766585,357.12501691182456,284.21848551432294,-3.236131095886236,7.050548203786247,-14.252344412681378,4.888217013921491,105.52048615366226,232.33783642004283,nonlocomotion
257.3411350886027,190.77304951349893,25.695744895935043,7.95002853075662,-5.2512007395426314,20.83161717653274,295.7423651771111,388.1367544235867,357.32377128601075,284.7294172286987,-3.1617039998372434,7.234979915618891,-14.006416829427078,4.794949078559853,103.10113296238244,234.28711777645282,nonlocomotion
257.7529723485311,191.24167699813842,25.10580015182496,8.235024293263741,-5.815789455708418,20.617416753807685,302.8231307573618,370.86161850408706,357.5359104156494,285.18817138671875,-3.0803393046061274,7.391690476735431,-13.767532958829303,4.692906834827184,100.64562652154663,236.12991826871334,nonlocomotion
258.2026007970174,191.90247055689494,24.620285892486557,8.725703907012935,-6.243619321641453,20.589514102254597,309.8764050632345,354.1054963312679,357.7375203450521,285.3172322591146,-2.9583798726399664,7.236433315277094,-13.459010033380393,4.379913902282681,98.10753610399904,237.80791333021998,nonlocomotion
258.68658415476483,192.9355053583781,24.22886794408162,9.525146357218425,-6.549047132610334,20.792897895325073,317.0610252376356,337.94804430424733,357.944801457723,285.16932169596356,-2.8006025950113838,6.9217384974161975,-13.105642853226739,4.030165796501677,95.53321045173139,239.28954858381476,nonlocomotion
259.18902517954507,193.6417846997579,23.862805080413796,9.966468683878565,-6.836912179715692,20.73957022247892,324.19512137866235,322.3517303288383,358.1505990346273,285.3682512919108,-2.642112159728981,6.873496977488185,-12.757216225248369,3.870919864827897,92.97749397058186,240.58267376352345,nonlocomotion
259.6481825510661,194.30965236028035,23.480162715911863,10.397918446858716,-7.13845452202689,20.68515892293719,331.27495054656913,307.27231710404794,358.3333182017008,285.7888365427653,-2.4937987645467388,7.052707322438562,-12.419941806793219,3.890275828043599,90.49081451858878,241.6981273276065,nonlocomotion
