,frame,nose_x,nose_y,likelihood_nose,left_ear_x,left_ear_y,likelihood_left_ear,right_ear_x,right_ear_y,likelihood_right_ear,neck_x,neck_y,likelihood_neck,left_side_x,left_side_y,likelihood_left_side,right_side_x,right_side_y,likelihood_right_side,tail_base_x,tail_base_y,likelihood_tail_base
14640,14638,145.24412536621094,266.9066467285156,0.6911510229110718,157.7705535888672,279.13665771484375,0.18190591037273407,196.38427734375,226.05677795410156,0.5176661014556885,194.2335968017578,258.35809326171875,0.9579683542251587,330.08233642578125,350.9937438964844,0.5758740901947021,215.4761505126953,308.8799743652344,0.6959769129753113,408.0270690917969,332.6003112792969,0.755398690700531
14641,14639,134.3267364501953,263.3501892089844,0.6034282445907593,153.66098022460938,289.1264343261719,0.20558272302150726,165.03860473632812,233.9310302734375,0.6758961081504822,186.13665771484375,257.9160461425781,0.8737330436706543,328.7896423339844,354.3682556152344,0.7137055993080139,382.7340087890625,262.6139831542969,0.8701923489570618,393.64031982421875,340.662109375,0.8654518127441406
14642,14640,131.093017578125,267.9107971191406,0.6647698879241943,147.33030700683594,282.3367004394531,0.11264390498399734,159.06553649902344,236.01193237304688,0.7886877655982971,181.5362091064453,259.3717041015625,0.8760446906089783,291.24090576171875,355.4650573730469,0.7662463188171387,379.3869323730469,269.8230285644531,0.7694465517997742,385.79693603515625,342.05511474609375,0.9580957293510437
14643,14641,131.08351135253906,267.8414611816406,0.6691063642501831,147.2952423095703,282.3232116699219,0.1163240447640419,159.05055236816406,235.94000244140625,0.7891296744346619,181.6134490966797,259.3173828125,0.8922299742698669,284.7861633300781,355.4375305175781,0.7516236305236816,379.4312744140625,269.8892822265625,0.7765212059020996,385.7489318847656,341.9989318847656,0.9588829278945923
14644,14642,123.79549407958984,268.9309997558594,0.7712959051132202,175.72630310058594,306.9250183105469,0.10954853147268295,158.0751495361328,235.19363403320312,0.8180193901062012,175.47897338867188,260.5747375488281,0.9504939317703247,275.82635498046875,353.0652770996094,0.7785748243331909,371.3004150390625,265.38079833984375,0.7639741897583008,375.9552001953125,339.8285827636719,0.9667510390281677
14645,14643,112.74781799316406,271.833984375,0.854256808757782,168.33935546875,309.3302307128906,0.1695379614830017,151.80738830566406,234.1482696533203,0.8133285641670227,166.1741180419922,260.1944274902344,0.919895589351654,275.4057922363281,351.800048828125,0.8309458494186401,364.7152404785156,260.32806396484375,0.8232333064079285,366.8651123046875,331.71612548828125,0.9157148003578186
14646,14644,103.09156799316406,270.53167724609375,0.7209236025810242,139.41224670410156,235.74154663085938,0.1306345909833908,142.16152954101562,238.08741760253906,0.8261233568191528,161.0154571533203,262.2140808105469,0.975430428981781,271.4296569824219,350.30426025390625,0.7814725041389465,341.2537536621094,242.48854064941406,0.8465070724487305,359.1260681152344,325.11065673828125,0.9710709452629089
14647,14645,101.75160217285156,274.1576232910156,0.8219346404075623,156.95941162109375,321.6865234375,0.4676586389541626,135.95834350585938,238.08575439453125,0.8134523630142212,150.05076599121094,263.217041015625,0.9315736889839172,268.46197509765625,350.52685546875,0.7529505491256714,328.43212890625,237.04891967773438,0.877470076084137,353.3565979003906,316.1711120605469,0.880986750125885
14648,14646,88.00924682617188,271.31573486328125,0.45333927869796753,151.21923828125,325.75384521484375,0.6730107665061951,131.43246459960938,237.71144104003906,0.7161580920219421,144.96173095703125,268.99658203125,0.9605578184127808,261.4973449707031,349.79022216796875,0.7966432571411133,319.48907470703125,233.8989715576172,0.8968364596366882,345.5213928222656,306.6327819824219,0.9290362000465393
14649,14647,88.12811279296875,276.3561096191406,0.4840858280658722,144.93826293945312,323.0477294921875,0.6979981064796448,131.44822692871094,248.32664489746094,0.6332184672355652,143.65040588378906,276.057861328125,0.9500771164894104,210.48809814453125,354.3464050292969,0.5249148011207581,318.67071533203125,230.77149963378906,0.7093858122825623,348.02301025390625,300.72845458984375,0.9343319535255432
14650,14648,95.96580505371094,314.594482421875,0.5429404377937317,144.28330993652344,330.2582702636719,0.7275307774543762,127.30547332763672,258.49542236328125,0.6722238659858704,145.16607666015625,281.2880554199219,0.9342422485351562,290.07928466796875,348.6882629394531,0.8541252017021179,306.2744445800781,229.71714782714844,0.7534400820732117,355.01971435546875,286.81536865234375,0.9567947387695312
14651,14649,96.23332214355469,321.4853515625,0.7203412055969238,145.29937744140625,331.34844970703125,0.7567076086997986,124.1534652709961,268.2312316894531,0.7544550895690918,147.2490234375,287.3341369628906,0.966608464717865,287.3966064453125,348.2269592285156,0.44278621673583984,283.46099853515625,213.62315368652344,0.7946081161499023,356.78814697265625,274.143798828125,0.9849897623062134
14652,14650,99.40166473388672,337.4024963378906,0.7049201130867004,154.15675354003906,335.72991943359375,0.5754876136779785,124.69419860839844,249.9003143310547,0.9455087780952454,146.4906005859375,291.9610900878906,0.9683882594108582,300.7842712402344,335.14581298828125,0.7979410290718079,289.208740234375,208.54147338867188,0.7186770439147949,355.8536071777344,263.6842346191406,0.9900100827217102
14653,14651,97.74163818359375,342.2293701171875,0.7798169851303101,156.59585571289062,338.46295166015625,0.6791713833808899,121.37667083740234,257.4659729003906,0.8807979822158813,144.38514709472656,300.0585021972656,0.9147036075592041,292.17431640625,337.60614013671875,0.7532833814620972,282.3316955566406,210.4246826171875,0.8808565139770508,350.8734436035156,264.1389465332031,0.9715211391448975
