,EEG ,FireRate
,1.483675164,3.999685452
,0.9898137068,0
,1.75031716,5.999528178
,1.817110736,11.99905636
,1.599555711,7.999370904
,1.544157058,5.999528178
,1.577858845,5.999528178
,1.236585063,0
,1.528604638,7.999370904
,1.561356863,11.99905636
,1.463108495,1.999842726
,1.09178046,1.999842726
,1.231087012,1.999842726
,1.237669775,0
,1.431569508,1.999842726
,1.782523007,1.999842726
,1.507158377,3.999685452
,1.433053953,9.99921363
,1.60398179,1.999842726
,1.92425283,11.99905636
,1.572201032,15.99874181
,1.763552547,27.99779817
,1.403117338,15.99874181
,1.544738833,5.999528178
,1.44404276,0
,1.652599571,1.999842726
,1.713041136,5.999528178
,1.518808365,15.99874181
,1.880306203,21.99826999
,1.351666646,0
,1.667810899,5.999528178
,1.717622407,0
,1.416319928,1.999842726
,1.494149267,1.999842726
,1.396735385,1.999842726
,1.516722486,1.999842726
,1.447399481,7.999370904
,1.554712847,1.999842726
,1.263546912,0
,1.580347094,0
,0.9453464511,1.999842726
,1.413136135,1.999842726
,1.482883602,1.999842726
,1.459061252,1.999842726
,1.029612623,9.99921363
,1.143054862,0
,1.358597843,1.999842726
,1.294478275,3.999685452
,1.139511432,3.999685452
,1.400576749,1.999842726
,1.404832928,0
,1.134655831,0
,1.164655436,0
,1.219628933,3.999685452
,1.795459898,13.99889908
,1.669390039,9.99921363
,1.836038738,9.99921363
,1.646812786,7.999370904
,1.405494266,0
,1.390525981,0
,1.534657158,1.999842726
,1.405036815,1.999842726
,1.781045576,7.999370904
,1.497496309,1.999842726
,1.745817487,3.999685452
,1.542873818,1.999842726
,1.577934914,0
,1.647987602,3.999685452
,1.527164168,1.999842726
,1.435410409,1.999842726
,1.317924157,3.999685452
,1.253555653,5.999528178
,1.228672588,3.999685452
,1.478584515,0
,1.218498741,0
,1.570198039,0
,1.393709151,1.999842726
,1.501399763,0
,1.37765643,1.999842726
,1.396903274,0
,1.145225663,0
,1.223509584,0
,1.235554479,0
,1.444220472,0
,1.204817759,3.999685452
,1.281275482,0
,1.166410445,0
,0.9919103239,0
,1.362770372,1.999842726
,1.558185962,7.999370904
,1.428145153,29.99764089
,1.52650154,9.99921363
,1.525001712,7.999370904
,1.445778077,1.999842726
,1.629384418,3.999685452
,1.596677184,3.999685452
,1.680661495,7.999370904
,1.59054307,3.999685452
,1.454624331,1.999842726
,1.373216647,3.999685452
,1.224395409,5.999528178
,1.361513726,1.999842726
,1.444401515,1.999842726
,1.309779292,1.999842726
,1.165525401,1.999842726
,1.240842534,0
,1.230050496,1.999842726
,1.110720109,0
,1.153370178,5.999528178
,1.200116161,5.999528178
,1.396099024,1.999842726
,1.389539784,0
,1.486225266,0
,1.715793511,9.99921363
,1.725062955,31.99748362
,1.40929636,3.999685452
,1.62769626,9.99921363
,1.399721431,5.999528178
,1.434526704,3.999685452
,1.533906167,7.999370904
,1.588016887,1.999842726
,1.280249538,11.99905636
,1.45706219,0
,1.260306286,3.999685452
,1.303754205,1.999842726
,1.02535541,1.999842726
,1.386569108,3.999685452
,1.776866234,17.99858453
,1.573424645,21.99826999
,1.277228014,3.999685452
,1.555204749,0
,1.595267932,1.999842726
,1.330458973,1.999842726
,1.03774563,1.999842726
,0.9278517027,1.999842726
,1.125538466,1.999842726
,1.098893242,1.999842726
,1.227203285,0
,1.568492503,27.99779817
,1.654955853,27.99779817
,1.495347887,9.99921363
,1.45830401,1.999842726
,1.464525716,5.999528178
,1.476770676,5.999528178
,1.390287233,15.99874181
,1.447568092,7.999370904
,1.492089398,3.999685452
,1.454210884,3.999685452
,1.325262364,13.99889908
,1.221329227,7.999370904
,1.186629527,0
,1.408877207,0
,1.392279138,1.999842726
,1.348781572,0
,1.01101324,0
,1.513827421,0
,1.134513961,1.999842726
,1.288310496,1.999842726
,1.196870075,0
,1.428092297,1.999842726
,1.690566953,21.99826999
,1.713887814,19.99842726
,1.779690481,1.999842726
,1.255923777,3.999685452
,1.283499257,7.999370904
,1.596666533,7.999370904
,1.524978952,1.999842726
,1.487870082,1.999842726
,0.9921579286,1.999842726
,1.150789151,0
,1.491545154,0
,1.367840396,0
,1.128262461,5.999528178
,1.539515366,3.999685452
,1.557433745,17.99858453
,1.709882561,29.99764089
,1.679574072,31.99748362
,1.474155582,5.999528178
,1.796198987,7.999370904
,1.762759808,7.999370904
,1.708404668,0
,1.526164195,0
,1.652492559,1.999842726
,1.440492015,9.99921363
,1.368231478,13.99889908
,1.520132405,3.999685452
,1.711003767,15.99874181
,1.368118411,11.99905636
,1.320888929,1.999842726
,1.315729228,1.999842726
,1.429193823,5.999528178
,1.298461296,1.999842726
,1.235378835,1.999842726
,1.575296765,0
,1.340823228,3.999685452
,1.096832292,1.999842726
,1.321323572,0
,1.194847791,3.999685452
,1.252119387,3.999685452
,1.330782176,5.999528178
,1.368336714,0
,1.252461056,5.999528178
,0.8527860955,3.999685452
,1.112771227,3.999685452
,1.414164599,0
,1.473837097,21.99826999
,1.804678418,19.99842726
,1.77456782,17.99858453
,1.629217241,9.99921363
,1.562731158,17.99858453
,1.703060448,11.99905636
,1.541860248,1.999842726
,1.729939988,15.99874181
,1.698530528,19.99842726
,1.715215758,11.99905636
,1.734571807,19.99842726
,1.600916601,7.999370904
,1.304560821,7.999370904
,1.57045986,5.999528178
,1.639047718,11.99905636
,1.585784368,7.999370904
,1.599637421,3.999685452
,1.572831544,0
,1.579369928,3.999685452
,1.583002871,1.999842726
,1.395883997,3.999685452
,1.43713639,5.999528178
,1.407196067,1.999842726
,1.348955801,0
,1.237456377,3.999685452
,1.493614442,9.99921363
,1.5300737,3.999685452
,1.240963382,1.999842726
,1.638629231,0
,1.429164917,0
,1.175815048,3.999685452
,1.322758374,0
,1.01380571,0
,1.215171238,0
,1.091283118,3.999685452
,1.433428351,1.999842726
,1.495311594,9.99921363
,1.171348993,7.999370904
,1.304380892,5.999528178
,1.860564012,9.99921363
,1.794781494,17.99858453
,1.973432514,35.99716907
,1.779138959,19.99842726
,1.471742161,9.99921363
,1.630525352,3.999685452
,1.425992521,7.999370904
,1.430452803,5.999528178
,1.775213603,17.99858453
,1.542346203,27.99779817
,1.981105829,7.999370904
,1.838960899,13.99889908
,1.121527899,7.999370904
,1.589552316,5.999528178
,1.800495152,13.99889908
,1.466647099,13.99889908
,1.913746916,9.99921363
,1.63236674,7.999370904
,1.49822923,0
,1.523200505,0
,1.604296485,1.999842726
,1.391785346,1.999842726
,1.184322124,1.999842726
,1.206107633,5.999528178
,1.354131731,7.999370904
,1.354148529,1.999842726
,1.257046016,0
,1.123836119,0
,1.621932727,0
,1.403008819,1.999842726
,1.564273127,0
,1.336141387,0
,1.181347599,0
,1.426103667,1.999842726
,1.358938572,1.999842726
,1.419290574,3.999685452
,1.574402234,1.999842726
,1.44991188,0
,1.148030944,3.999685452
,1.069877938,5.999528178
,1.131773076,1.999842726
,1.295234022,0
,1.349067469,5.999528178
,1.298284683,7.999370904
,1.313668486,3.999685452
,1.339966455,3.999685452
,1.699557647,29.99764089
,1.811805294,23.99811271
,1.42723872,25.99795544
,1.658686939,9.99921363
,1.761267542,9.99921363
,1.708246001,5.999528178
,1.677434707,9.99921363
,1.384860394,5.999528178
,1.761423876,27.99779817
,1.774833329,15.99874181
,1.772766563,13.99889908
,1.628002519,17.99858453
,1.791211312,23.99811271
,1.887505146,17.99858453
,1.676606353,3.999685452
,1.695257731,5.999528178
,1.59285416,11.99905636
,1.737820105,5.999528178
,1.830832851,13.99889908
,1.867390935,5.999528178
,1.633054604,7.999370904
,1.537329164,1.999842726
,1.373036987,5.999528178
,1.339442219,11.99905636
,1.435784367,7.999370904
,1.309706392,13.99889908
,1.492570937,5.999528178
,1.673365696,9.99921363
,1.806083978,1.999842726
,1.473976841,5.999528178
,1.726455263,0
,1.40793398,1.999842726
,1.581673157,0
,1.274657112,3.999685452
,1.332521176,1.999842726
,1.52338124,0
,1.212556908,0
,1.452817807,1.999842726
,1.495378448,5.999528178
,1.084232091,0
,1.538860862,1.999842726
,1.247184607,1.999842726
,1.387815207,1.999842726
,1.03332948,1.999842726
,1.334091099,0
,1.472900531,3.999685452
,1.445110524,1.999842726
,1.322508617,1.999842726
,1.399336857,11.99905636
,1.427704307,1.999842726
,1.515194507,0
,1.707736948,25.99795544
,1.743096184,37.9970118
,1.653353286,29.99764089
,1.6188755,3.999685452
,1.545033055,7.999370904
,1.425956279,3.999685452
,1.869914512,7.999370904
,1.493243207,37.9970118
,1.909890586,15.99874181
,1.741068471,9.99921363
,1.84466382,15.99874181
,1.570843971,13.99889908
,1.498753292,0
,1.677929551,9.99921363
,2.195904299,11.99905636
